MODEL,ORIGINAL_PERF,TUNED_PERF,THRES,F1_THRES
xlm-roberta_r_wi,0.12987345342491496,0.8012306890090313,0.4444444444444445,0.90
electra_r_wi,0.02675741042007264,0.5836642239780623,0.5353535353535354,0.77
biomedbert_r_wi,0.16811397695514022,0.8339888692030841,0.43434343434343436,0.95
biobert_r_wi,0.1033449584812596,0.8276098379253857,0.4141414141414142,0.93
scibert_o_wi,0.14286813540698431,0.8553502291424709,0.5050505050505051,0.98
bert-base(para)_o_w,0.13541557342581334,0.8547366007077303,0.48484848484848486,0.98
deberta_p_w,0.05829549257331468,0.8008424079758681,0.5252525252525253,0.91
bert-xxxxx_p_wi,0.1532860097073281,0.33735195755806446,0.4747474747474748,0.64
roberta_r_wi,0.13723119024399444,0.8150757935888284,0.4444444444444445,0.92
bert-x_o_w,0.13241662535355894,0.8487089342151998,0.5353535353535354,0.97
bert-base_r_w,0.13697231479193403,0.8100698832504123,0.4141414141414142,0.92
deberta_r_wi,0.11124009602070534,0.815488331572392,0.4444444444444445,0.92
bert-base(para)_p_wi,0.14121183601572834,0.8139366297010336,0.4040404040404041,0.92
distilbert_o_wi,0.16079975181039136,0.8520968259090552,0.5151515151515152,0.97
scibert_r_wi,0.1469429625123186,0.8295354215369419,0.4444444444444445,0.94
bert-x_p_wi,0.13611828346061222,0.8066376611917621,0.4545454545454546,0.92
deberta_o_w,0.10268677080832415,0.8539598234681569,0.5252525252525253,0.98
bert-base(para)_o_wi,0.13027743453116508,0.8529675810567096,0.5555555555555556,0.98
bert-xxx_r_wi,0.11923622587935032,0.7739113950108747,0.4444444444444445,0.88
bert-xxxx_o_wi,0.13483435936582613,0.8282343225868729,0.494949494949495,0.93
bert-xx_p_w,0.08728885562635844,0.7849591550230384,0.494949494949495,0.89
bert-xxxxx_o_wi,0.11837184888043338,0.8110054341241464,0.5050505050505051,0.91
bluebert_r_wi,0.1182373217826246,0.8009564803837641,0.4141414141414142,0.90
bert-xxx_o_wi,0.12275640413964262,0.835980943676077,0.5050505050505051,0.95
xlm-roberta_r_w,0.12189945351644638,0.8014629394001956,0.4141414141414142,0.91
bert-x_r_w,0.12060492340342144,0.807325356766272,0.43434343434343436,0.91
scibert_p_w,0.10317978076576316,0.8098407450207734,0.5454545454545455,0.91
deberta_r_w,0.0948961039381667,0.8146763285274212,0.36363636363636365,0.92
bert-base(para)_p_w,0.08172722360798121,0.8011377498140854,0.5050505050505051,0.91
roberta_r_w,0.12856796726147462,0.8202314851579312,0.4545454545454546,0.93
bert-xxxxx_p_w,0.07455463610841885,0.3173908324639227,0.4444444444444445,0.62
spanbert_o_w,0.29033553530304623,0.8527179830134723,0.5454545454545455,0.97
spanbert_o_wi,0.2822523859107541,0.8516922097699454,0.5151515151515152,0.97
bert-xxxx_p_wi,0.1501485655451714,0.716579973016407,0.4444444444444445,0.84
bert-base_o_w,0.1509793558927186,0.8540792619934683,0.5151515151515152,0.98
bert-base_r_wi,0.15686406380180146,0.8127841908594666,0.43434343434343436,0.91
biobert_p_w,0.05603248375231947,0.8008539157903732,0.48484848484848486,0.91
biomedbert_p_w,0.12388439430728058,0.8174736055149602,0.37373737373737376,0.92
bert-s_p_w,0.07646093342782126,0.8008500791924452,0.5353535353535354,0.90
bert-base(para)_r_wi,0.132585551582141,0.8185144239178442,0.43434343434343436,0.92
spanbert_p_wi,0.2807398844120576,0.795633593586349,0.43434343434343436,0.90
bert-x_r_wi,0.12829124302790815,0.8039446236235189,0.4747474747474748,0.91
bert-s_o_w,0.12906039692977841,0.8531362791092544,0.5454545454545455,0.97
bert-xxx_r_w,0.11630145209177906,0.7700869554961792,0.4747474747474748,0.88
bert-base_o_wi,0.14962770986017496,0.853307149734867,0.4646464646464647,0.98
roberta_o_w,0.12983803846286668,0.8533391024863083,0.5656565656565657,0.98
bert-base_p_wi,0.14640894689223397,0.8117082015375666,0.38383838383838387,0.92
spanbert_p_w,0.24506660287812382,0.79240790632858,0.4141414141414142,0.90
roberta_p_wi,0.13191073271175657,0.8098786620227245,0.3434343434343435,0.92
biomedbert_o_wi,0.16876214021963237,0.8551210931271703,0.4747474747474748,0.98
bert-multi_o_w,0.1902723795414681,0.8536345183181784,0.494949494949495,0.98
biomedbert_r_w,0.16949654499039404,0.8322782683865735,0.37373737373737376,0.94
bert-x_p_w,0.07796449187692737,0.7953766661647043,0.48484848484848486,0.90
albert_o_w,0.08014071964372267,0.8486499369565206,0.5151515151515152,0.97
xlm-roberta_o_w,0.13635880991141666,0.8519836461238922,0.5555555555555556,0.97
bert-xxx_p_wi,0.1439465518407613,0.7477127777404,0.4444444444444445,0.86
bert-xx_r_w,0.12433610838275225,0.8010871290396882,0.43434343434343436,0.91
electra_o_wi,0.026638313853310194,0.8492147387441599,0.5555555555555556,0.97
electra_p_w,0.004129032322609023,0.32120342710272753,0.4444444444444445,0.62
distilbert_r_wi,0.15672389897752037,0.8183846643101995,0.42424242424242425,0.92
bert-multi_p_w,0.1215638512927163,0.8013525438782434,0.5050505050505051,0.91
distilbert_p_w,0.11164688620067187,0.8051037687844316,0.5151515151515152,0.91
bert-x_o_wi,0.1300457986845114,0.8490282603731996,0.5050505050505051,0.97
xlm-roberta_o_wi,0.12293744808685476,0.8514530433439826,0.5454545454545455,0.97
spanbert_r_wi,0.270792387300478,0.8167932728956903,0.38383838383838387,0.92
bert-xxxx_r_w,0.12023768081413594,0.7329599511529629,0.4747474747474748,0.85
bert-multi_o_wi,0.18869350037888902,0.8529515624447516,0.494949494949495,0.98
bluebert_p_wi,0.11700020239948353,0.7928490160047772,0.4545454545454546,0.89
bert-multi_r_w,0.17012759014334553,0.8079974107536909,0.5353535353535354,0.91
bert-xx_o_w,0.13177201356815338,0.8456677735336068,0.48484848484848486,0.96
scibert_o_w,0.14766092524361452,0.8550531176367543,0.48484848484848486,0.98
bert-xx_r_wi,0.13221218664381065,0.7996515390669413,0.43434343434343436,0.90
spanbert_r_w,0.2841680519489492,0.811787354370718,0.37373737373737376,0.92
bluebert_r_w,0.1044180930986476,0.8065492507042983,0.4444444444444445,0.91
biomedbert_p_wi,0.1714087770254096,0.8281318385569532,0.393939393939394,0.93
distilbert_p_wi,0.1523693236990696,0.8105307000971277,0.4141414141414142,0.92
bert-xxxx_p_w,0.09135076491680301,0.6941434566053731,0.4444444444444445,0.82
albert_o_wi,0.07131609412423616,0.847179764369405,0.5151515151515152,0.97
distilbert_r_w,0.1422355135536734,0.8096536749521931,0.4545454545454546,0.92
