Grant Number,Title
RFA-AI-12-060,"autoimmunity centers of excellence, basic research program (u19)"
RFA-HS-14-005,patient safety learning laboratories: innovative design and development to improve healthcare delivery systems (p30)
RFA-GM-11-004,research to understand and inform interventions that promote the research careers of students in biomedical and behavioral sciences (r01)
RFA-AI-08-057,integrated preclinical/clinical program for hiv topical microbicides (ipcp-htm) (u19)
RFA-AI-11-018,innovation for hiv vaccine discovery (r01)
RFA-DA-12-011,fy12 nida avant-garde award program for hiv/aids research (dp1)
RFA-RM-13-007,nih director's new innovator award program (dp2)
RFA-AI-13-008,preclinical innovation program (pip) (r01)
RFA-HD-09-006,limited competition for the pediatric hiv/aids cohort study (u01)
RFA-AI-13-016,cooperative centers on human immunology (u19)
RFA-AI-11-001,tropical medicine research centers (p50)
RFA-ES-11-012,centers for oceans and human health (p01)
RFA-HL-10-024,ancillary studies in clinical trials (r01)
RFA-AI-12-044,centers of excellence for translational research (cetr) (u19)
RFA-NS-13-007,exceptional unconventional research enabling knowledge acceleration (eureka) for neuroscience and disorders of the nervous system (r01)
RFA-ES-09-002,environmental health sciences core center grants (p30)
RFA-AA-12-007,translational research in alcoholic hepatitis (u01)
RFA-ES-13-002,environmental health sciences (ehs) core centers (p30)
RFA-MD-12-006,nimhd community-based participatory research (cbpr) initiative in reducing and eliminating health disparities: planning phase (r24)
RFA-AI-12-012,leadership group for a clinical research network on vaccines to prevent hiv infection (um1)
RFA-ES-10-001,environmental health sciences core center grants (p30)
RFA-AG-10-001,alzheimer s disease core centers (p30)
RFA-GM-13-010,instrument development for biomedical applications (r21)
RFA-AI-11-027,therapeutics for neurotropic biodefense toxins and pathogens (r21/r33)
RFA-RR-09-003,mutant mouse regional resource centers (limited competition u42)
RFA-DK-12-502,limited competition for the continuation of look ahead (action for health in diabetes) consortium (u01)
RFA-GM-14-003,revisions for macromolecular interactions in cells (r01)
RFA-HL-13-020,short-term research education program to increase diversity in health-related research (r25)
RFA-CA-12-013,nci national clinical trials network - network lead academic participating sites (u10)
RFA-GM-11-003,"â exceptional, unconventional research enabling knowledge acceleration (eureka) (r01)"
RFA-RM-11-007,nih director's early independence awards (dp5)
RFA-HD-12-202,learning disabilities research centers (p50)
RFA-CA-09-032,"community networks program (cnp) centers for reducing cancer disparities through outreach, research and training (u54)"
RFA-HD-09-004,population research infrastructure program (prip) fy10 (r24)
RFA-AI-09-021,microbicide innovation program (mip v) (r21/r33)
RFA-HL-12-009,anchoring metabolomic changes to phenotype (p20)
RFA-FD-12-018,fda fern microbiological cooperative agreement continuation program (u18)
RFA-AR-13-012,paul d. wellstone muscular dystrophy cooperative research centers (u54)
RFA-RM-11-006,nih director's transformative research awards (r01)
RFA-DK-10-006,mouse metabolic phenotyping centers consortium (u24)
RFA-TR-12-006,institutional clinical and translational science award (u54)
RFA-AA-12-003,comprehensive alcohol research centers (p60)
RFA-HD-10-022,intellectual and developmental disabilities research centers 2011 (p30)
RFA-AI-12-045,tuberculosis research units (u19)
RFA-RR-09-005,centers of biomedical research excellence (cobre) phase iii: transitional centers [p30]
RFA-HL-12-004,maximizing the scientific value of the nhlbi biologic specimen repository: scientific opportunities (r21)
RFA-ES-07-006,superfund basic research and training program (p42)
RFA-NS-14-002,adding legacy clinical data to the federal interagency traumatic brain injury (fitbir) informatics system (r03)
RFA-GM-11-001,dynamics of host-associated microbial communities (r01)
RFA-AG-11-005,alzheimer s disease core centers (p30)
RFA-TW-11-003,international tobacco and health research and capacity building program (r01)
RFA-CA-13-019,research answers to nciâs provocative questions - group b (r21)
RFA-CA-10-021,tumor microenvironment network (tmen) (u54)
RFA-AI-11-017,systems approach to immunity and inflammation (u19)
RFA-OD-11-003,specialized centers of research (scor) on sex differences (p50)
RFA-AI-11-003,nih/pepfar collaboration for implementation science and impact evaluation (r01)
RFA-ES-09-008,limited competition: continuation of studies on early environmental exposures and human puberty (u01)
RFA-OD-11-004,limited competition: strengthening behavioral and social science in medical school education (r25)
RFA-NS-14-003,morris k. udall centers of excellence for parkinson's disease research (p50)
RFA-DA-12-009,systems biology approaches in hiv/aids and substance use (r01)
RFA-DA-09-017,"central nervous system intersections of drug addiction, chronic pain and analgesia (r01)"
RFA-CA-12-022,research answers to nciâs provocative questions- group d (r21)
RFA-MH-10-010,â identification and characterization of sensitive periods for neurodevelopment in studies of mental illness (r01)
RFA-AI-12-017,partnerships for development of therapeutics and diagnostics for biodefense (r01)
RFA-HD-10-026,specialized centers in research in pediatric developmental pharmacology program (u54)
RFA-AG-12-012,resource centers for minority aging research (rcmar) and coordinating center (p30)
RFA-HG-13-009,centers of excellence for big data computing in the biomedical sciences (u54)
RFA-CA-11-003,population-based research optimizing screening through personalized regimens (prospr) (u54) related
RFA-HL-14-001,centers for advanced diagnostics and experimental therapeutics in lung diseases stage ii (cadet ii)(uh2/uh3)
RFA-FD-12-003,minor use minor species development of drugs; research project grant (r01)
RFA-NS-13-004,specialized neuroscience research program (snrp) (u54)
RFA-MD-09-001,ncmhd disparities research and education advancing mission (dream) career transition award (k22)
RFA-TR-13-002,rare diseases clinical research consortia (rdcrc) for rare diseases clinical research network (u54)
RFA-HL-14-023,"clinical research in the prevention, diagnosis, and treatment of hiv-related heart, lung, and blood (hlb) diseases in adults and children (r01)"
RFA-MD-13-003,nimhd transdisciplinary collaborative centers for health disparities research [u54]
RFA-MH-13-060,harnessing advanced health technologies to drive mental health improvement (r01)
RFA-AI-12-027,omics technologies for predictive modeling of infectious diseases (u19)
RFA-FD-12-025,building an integrated laboratory system to advance the safety of food and animal feed (u18)
RFA-DA-09-013,â interactions between physical activity and drug abuse (r01)
RFA-CA-13-004,validation and advanced development of emerging technologies for biospecimen science (r33)
RFA-DK-08-002,silvio o. conte digestive diseases research core centers (p30)
RFA-AI-09-017,international centers of excellence for malaria research (u19)
RFA-CA-09-001,nih-supported centers for population health and health disparities (cphhd) (p50)
RFA-DK-11-015,diabetes research centers (p30)
RFA-FD-13-020,collection of dose adjustment and therapeutic monitoring data to aid narrow therapeutic index drug classification (u01)
RFA-AG-13-006,grants for early medical/surgical specialists transition to aging research (gemsstar) (r03)
RFA-MH-14-110,limited competition: mental health research network ii (u19)
RFA-AA-12-006,longitudinal studies on the impact of adolescent drinking on the adolescent brain (phase ii) (u01)
RFA-MD-12-007,nimhd transdisciplinary collaborative centers for health disparities research (u54)
RFA-HD-12-189,child health research career development award (chrcda) program (k12)
RFA-ES-10-010,superfund hazardous substance research and training program (p42)
RFA-CA-14-002,"sbir phase iib bridge awards to accelerate the development of cancer therapeutics, imaging technologies, interventional devices, diagnostics and prognostics toward commercialization (r44)"
RFA-FD-08-001,"clinical studies of safety and effectiveness of orphan products; research project grant (r01) note: the policies, guidelines, terms, and conditions stated in this"
RFA-GM-10-005,centers for high-throughput structure determination (u54)
RFA-AR-14-001,skin diseases research core centers (p30)
RFA-FD-12-027,"building the capacity of state, local, territorial, and tribal food regulatory agencies to undertake examinations, inspections, and investigations and other related food safety activities under section 702 of the fd&c act (u18)"
RFA-HD-12-186,research infrastructure for demographic and behavioral population science (r24)
RFA-AA-13-003,research on comparative effectiveness and implementation of hiv/aids and alcohol interventions (r01)
RFA-CA-14-008,using social media to understand and address substance use and addiction (r01)
RFA-DK-08-504,limited competition: renewal of diabetes prevention program outcomes study phase 2 (u01)
RFA-OD-13-005,limited competition: restoration of new investigator pilot projects adversely affected by hurricane sandy (r21)
RFA-FD-13-001,clinical studies of safety and effectiveness of orphan products research project grant (r01)
RFA-HL-12-023,clinical trials planning studies for rare thrombotic and hemostatic disorders (u34)
RFA-HD-14-033,centers for collaborative research in fragile x (u54)
RFA-AI-09-028,â partnerships for biodefense viral pathogens (r01)
RFA-CA-10-014,barrett s esophagus translational research network (u54)
RFA-OD-09-001,dietary supplement research centers: botanicals (p50)
RFA-DK-10-502,limited competition for the continuation of the niddk gastroparesis consortium (u01)
RFA-DA-11-009,2011 nida translational avant-garde award for medication development for diseases of addiction (dp1)
RFA-CA-10-006,transdisciplinary research in energetics and cancer (u54)
RFA-AA-10-001,collaborative minority alcohol research center development (u54)
RFA-GM-10-007,consortia for high-throughput-enabled structural biology partnerships (u01)
RFA-DK-12-003,planning centers for interdisciplinary research in benign urology (ir-bu) (p20)
RFA-FD-08-003,"fda small scientific conference program (r13/u13) note: the policies, guidelines, terms, and conditions stated in this"
RFA-DK-09-006,nutrition obesity research centers (p30)
RFA-AG-14-011,limited competition: renewal of the aging intervention testing program (u01)
RFA-DA-11-005,training in computational neuroscience: from biology to model and back again (t90/r90)
RFA-MD-10-001,ncmhd disparities research and education advancing mission (dream) career transition award (k22)
RFA-AI-10-017,â partnerships for next generation biodefense diagnostics (r01)
RFA-CA-12-003,validation and advanced development of emerging technologies for cancer research (r33)
RFA-HL-13-014,limited competition: pregnancy as a window to future cardiovascular health: adverse pregnancy outcomes as predictors of increased risk factors for cardiovascular disease (u10)
RFA-RM-10-013,knockout mouse production and cryopreservation (u42)
RFA-NS-12-006,exploratory grant program in disease modification and prevention in the epilepsies (p20)
RFA-GM-14-009,modeling of infectious disease agent study centers of excellence (u54)
RFA-GM-11-007,modeling the scientific workforce (u01)
RFA-AI-09-036,centers for medical countermeasures against radiation (u19)
RFA-MD-09-004,ncmhd health disparities research on minority and underserved populations (r01)
RFA-AI-12-056,functional glycomics in hiv vaccine design (r01)
RFA-CA-09-012,centers of cancer nanotechnology excellence (ccnes)(u54)
RFA-HD-10-007,child health research career development award (chrcda) program [k12]
RFA-AG-12-003,paul b. beeson clinical scientist development award in aging (k08)
RFA-AI-12-014,partnerships for development of vaccine technologies (r01)
RFA-DK-11-012,nutrition obesity research centers (p30)
RFA-CA-10-503,comprehensive partnerships to reduce cancer health disparities (limited competition u54)
RFA-AA-14-001,limited competition: collaborative study on the genetics of alcoholism (coga) (u10)
RFA-FD-14-004,data concepts and terminology standards for clinical research and drug development (u24)
RFA-AA-09-002,comprehensive alcohol research center on hiv/aids (p60) annoucement type new update: the following update relating to this
RFA-AI-10-018,national biocontainment laboratories (nbls) operations support limited competition (uc7)
RFA-AI-13-023,integrated preclinical/clinical program for hiv microbicides and biomedical prevention (ipcp-mbp) (u19)
RFA-AI-12-004,leadership group for a clinical research network on therapeutics for hiv/aids and hiv-associated infections in adults (um1)
RFA-NS-13-002,limited competition for continuation of the nih exploratory trials in parkinson's disease (net-pd): clinical sites (u10)
RFA-DA-13-003,tobacco centers of regulatory science for research relevant to the family smoking prevention and tobacco control act (p50)
RFA-AR-14-002,core centers for musculoskeletal biology and medicine (p30)
RFA-RM-12-015,2013 nih director's pioneer award program (dp1)
RFA-AI-11-004,chemical approaches to target validation for drug resistant pathogens (r01)
RFA-RR-10-002,research education program for laboratory animal medicine veterinarians (r25)
RFA-GM-12-003,nigms centers for hiv/aids-related structural biology (p50)
RFA-HS-12-008,"â ahrq national research service awards (nrsa) institutional research training grants (t32) note: the policies, guidelines terms and conditions stated in this"
RFA-AA-12-004,collaborative initiative on fetal alcohol spectrum disorders (cifasd) (u01)
RFA-NS-13-009,high impact neuroscience research resource grants (r24)
RFA-MH-14-102,services research for autism spectrum disorders across the lifespan (servasd): pilot studies of services strategies for adults with asd (r34)
RFA-ES-13-007,research linking environmental exposure to neurodegenerative disease (r21)
RFA-RM-11-016,regional comprehensive metabolomics resource cores (rcmrc) (u24)
RFA-FD-13-006,food protection rapid response team (u18)
RFA-AG-14-010,grants for early medical/surgical specialists transition to aging research (gemsstar) (r03)
RFA-DK-10-009,niddk centers for diabetes translation research (p30)
RFA-EY-13-001,basic behavioral research on multisensory processing (r21)
RFA-CA-09-501,comprehensive minority institution/cancer center partnership (limited competition u54)
RFA-AI-13-043,sexually transmitted infections cooperative research centers (sti crc) (u19)
RFA-NS-12-002,nih blueprint for neuroscience research grand challenge: developing novel drugs for disorders of the nervous system (u01)
RFA-HD-14-016,population dynamics centers research infrastructure fy 2014 (p2c)
RFA-MH-11-040,scalable assays for unbiased analysis of neurobiological function (r01)
RFA-ES-12-001,children's environmental health and disease prevention research centers (p01)
RFA-AR-12-002,rheumatic diseases research core centers (p30)
RFA-ES-10-004,â outstanding new environmental scientist award (ones) (r01)
RFA-CA-11-005,advanced in vivo imaging to understand cancer systems (r01)
RFA-DA-10-009,the national drug abuse treatment clinical trials network (u10)
RFA-RR-10-008,chimpanzee biomedical research program limited competition (u42)
RFA-AG-14-004,roybal centers for translational research on aging (p30)
RFA-OD-09-006,building interdisciplinary research careers in womenâs health (k12)
RFA-DK-13-503,limited competition: continuation of the nonalcoholic steatohepatitis clinical research network (nash crn)(u01)
RFA-AG-10-009,nathan shock centers of excellence in basic biology of aging (p30)
RFA-RM-13-008,nih transformative research awards (r01)
RFA-AG-13-007,molecular mechanisms of circadian clocks in aging tissues (r01)
RFA-ES-09-012,superfund hazardous substance research and training program (p42)
RFA-HS-14-007,deliberative approaches: patient and consumer input for implementing evidence-based health care (r21)
RFA-NS-14-004,centers without walls for collaborative research in the epilepsies: sudden unexpected death in epilepsy (sudep) (u01)
RFA-AI-11-034,cooperative study group for autoimmune disease prevention (u01)
RFA-CA-12-011,nci national clinical trials network - network group statistics and data management centers (u10)
RFA-FD-11-005,pediatric anesthesia safety initiative (pasi) (u01)
RFA-NS-11-003,"exceptional, unconventional research enabling knowledge acceleration (eureka) in the epilepsies (r01)"
RFA-HG-10-015,genome sequencing and analysis centers (u54)
RFA-AI-13-019,drug target development and validation for antimicrobial-resistant pathogens (r21/r33)
RFA-TW-12-001,limited competition: planning grants for hubs of interdisciplinary research and training in global environmental and occupational health (geohealth) (p20)
RFA-RM-13-009,nih director's early independence awards (dp5)
RFA-HD-09-026,women's reproductive health research (wrhr) career development program (k12)
RFA-GM-13-003,competing revisions for macromolecular interactions in cells (r01)
RFA-RM-11-019,technology development to enable large scale metabolomics analyses (r01)
RFA-CA-08-022,improving effectiveness of smoking cessation interventions and programs in low income adult populations (r01)
RFA-AG-13-001,limited competition: alzheimer's disease cooperative study (u19)
RFA-AI-09-040,"recovery act limited competition: protection of human health by immunology and vaccines (u01, u19)"
RFA-AT-11-001,mechanistic research on cam natural products (r01)
RFA-HD-10-017,â identifying and understanding effective interventions for orphans and vulnerable children affected by hiv/aids (r01)
RFA-AI-10-010,â partnerships for development of new therapeutic classes for select viral and bacterial pathogens (r01)
RFA-MH-14-140,revision applications for research on assessing the role of stigma in hiv prevention and care (r01)
RFA-HL-14-021,programs to increase diversity among individuals engaged in health-related research (pride )(r25)
RFA-AA-14-004,research on comparative effectiveness and implementation of hiv/aids and alcohol interventions (r01)
RFA-DK-07-010,molecular therapy core center (p30)
RFA-HD-09-012,intellectual and developmental disabilities research centers 2010 (p30)
RFA-CA-12-006,cancer target discovery and development (ctdd) network (u01)
RFA-CA-08-024,"measures and determinants of smokeless tobacco use, prevention, and cessation (r01)"
RFA-NS-12-009,morris k. udall centers of excellence for parkinsonâs disease research (p50)
RFA-AR-11-002,centers of research translation (p50)
RFA-DK-13-012,intestinal stem cell consortium research projects (u01)
RFA-DC-12-004,improving access to hearing health care (sbir) [r43/r44]
RFA-CA-13-008,person-centered outcomes research resource (u2c)
RFA-NS-14-007,brain initiative: new technologies and novel approaches for large-scale recording and modulation in the nervous system (u01)
RFA-CA-12-016,research answers to nciâs provocative questions- group a (r21)
RFA-HD-12-185,contraceptive development research centers program (u54)
RFA-HL-14-004,ancillary studies in clinical trials (r01)
RFA-HS-13-010,closing the gap in healthcare disparities through dissemination and implementation of patient centered outcomes research (u18)
RFA-ES-09-009,environmental influences during windows of susceptibility in breast cancer risk (u01)
RFA-FD-10-002,"feed safety and bse/ruminant feed ban support project (u18) note: this is a limited competition solicitation. the fda does not follow the nih page limitation guidelines or the enhanced peer review scoring criteria. applicants are encouraged to use the adobe forms b and for this foa submission please consult with your program official caleb michaud at 301-827-4389 or your grant specialist, gladys m. bohler at 301-827-7168 for additional information regarding page limits and the fda peer review process"
RFA-MH-10-060,biobehavioral research awards for innovative new scientists (brains) (r01)
RFA-RM-11-024,"phased economic studies ancillary to planned health care delivery and financing pilots, demonstrations, and other experiments (r21/r33)"
RFA-AI-10-011,microbicide innovation program (mip vi) (r21/r33)
RFA-DK-12-008,george m. o brien kidney research core centers (p30)
RFA-AT-14-004,"pilot and feasibility studies of non-pharmacological approaches to managing pain and co-morbid conditions in u.s. military personnel, veterans, and their families (r34)"
RFA-CA-12-015,research answers to nciâs provocative questions- group a (r01)
RFA-RM-09-004,institutional clinical and translational science award (u54)
RFA-DE-10-001,â oral mucosal vaccination against hiv infection (r01)
RFA-MD-13-004,nimhd transdisciplinary collaborative centers for research on men's health (u54)
RFA-FD-14-007,dissolution methods for microsphere and implant drug products (u01)
RFA-DA-14-009,hiv/aids and substance use among the homeless and unstably housed (r01)
RFA-NR-14-002,centers of excellence in self-management research (p30)
RFA-GM-10-009,"â exceptional, unconventional research enabling knowledge acceleration (eureka) (r01)"
RFA-HL-14-011,"onsite tools and technologies for heart, lung, and blood clinical research point-of-care sbir (r43/r44)"
RFA-HD-10-006,developmental mechanisms of human structural birth defects (p01 )
RFA-NS-14-008,brain initiative: optimization of transformative technologies for large scale recording and modulation in the nervous system (u01)
RFA-OD-12-007,nih revision applications for research relevant to the family smoking prevention and tobacco control act (p30)
RFA-TR-12-004,limited competition for nih-industry pilot program: discovering new therapeutic uses for existing molecules (uh2/uh3)
RFA-AR-14-005,"small business innovation research on rare musculoskeletal, rheumatic and skin diseases (sbir) (r43)"
RFA-MD-11-005,nimhd resource-related minority health and health disparities research (u24)
RFA-DK-09-007,polycystic kidney disease (pkd) research and translation core centers (p30)
RFA-DK-12-004,nutrition obesity research centers (p30)
RFA-CA-13-003,early-stage development of innovative technologies for biospecimen science (r21)
RFA-HS-14-002,addressing methodological challenges in research for patients with multiple chronic conditions (r21)
RFA-NS-11-004,morris k. udall centers of excellence for parkinsonâs disease research (p50)
RFA-HD-12-198,prevention of hiv transmission/acquisition through a better understanding of reproductive health (r01)
RFA-CA-11-006,community clinical oncology program groups (u10)
RFA-AI-10-014,ancillary studies in immunomodulation clinical trials (r01)
RFA-RM-14-001,computational analyses exploiting reference epigenomic maps (r01)
RFA-HL-13-016,"nhlbi sbir phase iib bridge awards to accelerate the commercialization of technologies for heart, lung, blood, and sleep disorders and diseases (r44)"
RFA-RM-10-020,institutional clinical and translational science award (u54)
RFA-DK-11-001,a genitourinary development molecular anatomy project (gudmap) (u01)
RFA-AG-11-002,claude d. pepper older americans independence centers (oaics) (p30)
RFA-AI-11-023,next generation prep ii (r01)
RFA-HD-10-003,eunice kennedy shriver nichd cooperative multicenter neonatal research network (u10)
RFA-AR-11-010,skin diseases research core centers (p30)
RFA-HD-09-032,specialized cooperative centers program in reproduction and infertility research (u54)
RFA-DE-08-008,centers for research to reduce disparities in oral health (u54)
RFA-AT-10-001,translational tools for clinical studies of cam interventions (r01)
RFA-NS-13-014,pilot projects on sports-related brain and spinal cord injury (r21)
RFA-HD-10-002,pelvic floor disorders network clinical sites (u10)
RFA-AI-11-013,allergen epitope research and validation centers (u19)
RFA-DA-10-008,â international research collaborations on hiv/aids and drug use (r01)
RFA-RM-10-001,institutional clinical and translational science award (u54)
RFA-DA-13-011,the interplay of substance abuse and hiv-1 infection on glial cell function (r21)
RFA-NR-11-006,increasing opportunities in advanced heart failure and palliative care research (r01)
RFA-HL-10-012,mentored career development award to promote faculty diversity/re-entry in biomedical research (k01)
RFA-NS-12-005,"exceptional, unconventional research enabling knowledge acceleration (eureka) in the epilepsies (r01)"
RFA-DK-12-005,niddk short-term education program for underrepresented persons (step-up) (r25)
RFA-CA-11-008,minority-based community clinical oncology program groups (u10)
RFA-AR-12-001,multidisciplinary clinical research centers (p60)
RFA-AI-09-022,b cell immunology partnership program for hiv-1 vaccine discovery (u19)
RFA-HD-14-017,specialized cooperative centers program in reproduction and infertility research (u54)
RFA-MD-12-001,nimhd health disparities research (r01)
RFA-HL-12-021,pulmonary vascular-right ventricular axis research program (r01)
RFA-AG-08-002,"international network for identification, evaluation, and follow-up of families with early onset dominantly inherited alzheimerâs disease (u01)"
RFA-CA-13-006,nci experimental therapeutics-clinical trials network with phase 1 emphasis (et-ctn) (um1)
RFA-HD-12-169,specialized cooperative centers program in reproduction and infertility research (u54)
RFA-MD-13-001,limited competition: nimhd community-based participatory research (cbpr) initiative in reducing and eliminating health disparities: dissemination phase (r24)
RFA-DK-08-008,"diabetes research centers (p30, p60)"
RFA-DK-10-003,nutrition obesity research centers (p30)
RFA-HD-12-196,autism centers of excellence: networks (r01)
RFA-MH-14-180,methodologies and formative work for combination hiv prevention approaches (r01)
RFA-AG-14-012,human cell reprogramming for functional genetics of alzheimer's disease (r01)
RFA-ES-11-001,environmental health sciences core center grants (p30)
RFA-MH-14-216,brain initiative: development and validation of novel tools to analyze cell-specific and circuit-specific processes in the brain (u01)
RFA-HD-08-016,intellectual and developmental disabilities research centers 2009 (p30)
RFA-NS-13-011,ninds stroke trials network - regional coordinating stroke centers (u10)
RFA-HL-12-008,translational research centers in thrombotic and hemostatic disorders (trc-thd) (u54)
RFA-HG-11-025,computational analysis of the encyclopedia of dna elements (encode) data (u01)
RFA-NS-13-006,morris k. udall centers of excellence for parkinson's disease research (p50)
RFA-NR-14-001,centers of excellence in self-management: building research teams for the future (p20)
RFA-HD-12-206,improving adherence to treatment regimens for hiv-positive adolescents and young adults (r01)
RFA-HD-14-012,intellectual and developmental disabilities research centers 2014 (u54)
RFA-HD-10-008,eunice kennedy shriver nichd maternal fetal medicine units network (u10)
RFA-AG-14-013,paul b. beeson clinical scientist development award in aging (k08)
RFA-MH-13-010,"new tools to study astrocyte heterogeneity, development and function in brain regions relevant to mental illness (r01)"
RFA-HG-10-018,informatics tools for high-throughput sequence data analysis (u01)
RFA-AI-09-025,hepatitis c cooperative research centers (u19)
RFA-FD-12-007,conformance with the manufactured food regulatory program standards (mfrps) ( u18 )
RFA-HL-09-003,nhlbi pediatric cardiac genomics consortium (u01)
RFA-EB-09-001,: development and translation of medical technologies that reduce health disparities (sbir [r43/r44])
RFA-DK-13-005,"undergraduate summer institutes in kidney, urologic and hematologic diseases (r25)"
RFA-AA-12-008,evaluation of niaaaâs alcohol screening guide for children and adolescents (r01)
RFA-DK-13-009,type 1 diabetes trialnet clinical network hub (u01)
RFA-AI-05-002,units for hiv/aids clinical trials networks
RFA-AA-11-006,integrative neuroscience initiative on alcoholism (inia) consortia (u01)
RFA-HD-13-007,research infrastructure for demographic and behavioral population science (r24)
RFA-HD-10-019,natural history of disorders identifiable by newborn screening (r01)
RFA-AR-11-011,core centers for musculoskeletal biology and medicine (p30)
RFA-ES-12-008,"target i: chromatin structure, genomics, and transcriptional responses to the environment (r01)"
RFA-FD-11-031,alliance for advancing a national integrated food safety system (u18)
RFA-NS-11-008,clinical research sites for the network of excellence in neuroscience clinical trials (next sites) (u10)
RFA-DK-10-501,limited competition for the continuation of the consortium for radiologic imaging studies in polycystic kidney disease (crisp) (u01)
RFA-AI-10-009,martin delaney collaboratory: towards an hiv-1 cure (u19)
RFA-RM-12-012,"extracellular rna biogenesis, biodistribution, uptake, and effector function (u19)"
RFA-DK-12-507,limited competition for continuation of the prospective study of chronic kidney disease in children (u01)
RFA-RM-09-002,national centers for biomedical computing (u54)
RFA-AI-11-002,center for hiv/aids vaccine immunology and immunogen discovery (chavi-id) (um1)
RFA-CA-12-005,validation and advanced development of emerging technologies in biospecimen science (r33)
RFA-HL-12-030,mentored career development award to promote faculty diversity/re-entry in biomedical research (k01)
RFA-DK-12-509,"limited competition for the continuation of the assessment, serial evaluation and subsequent sequelae of acute kidney injury (assess aki) study (u01)"
RFA-FD-14-011,pharmacometric modeling and simulation for generic drugs evaluation (u01)
RFA-HD-10-005,postdoctoral research training in pediatric clinical and developmental pharmacology (t32)
RFA-TW-11-001,limited competition: global health program for fellows and scholars (global health fellows) (r25)
RFA-HD-13-002,intellectual and developmental disabilities research centers 2013 (u54)
RFA-AI-13-011,limited competition multicenter aids cohort study (macs) clinical research sites (u01)
RFA-AI-12-018,clinical trials units for niaid networks (um1)
RFA-NR-13-002,the influence of the microbiome on preterm labor and delivery (r01)
RFA-HD-08-004,â studies of antimicrobial and prebiotic activity of oligosaccharides (r01)
RFA-AI-11-031,integrated preclinical/clinical program for hiv topical microbicides (ipcp-htm) (u19)
RFA-MH-12-020,integrating multi-dimensional data to explore mechanisms underlying mental disorders (ro1)
RFA-FD-13-034,collaborating centers of excellence in regulatory science and innovation (u01)
RFA-AI-11-014,partnerships for biodefense (r01)
RFA-NS-09-001,ninds research education programs for residents and fellows in neurology and neurosurgery (r25)
RFA-DE-11-002,nih blueprint for neuroscience research grand challenge on the transition from acute to chronic neuropathic pain (r01)
RFA-RM-09-022,roadmap transformative research projects program (r01)
RFA-DC-14-002,"nidcd national temporal bone, hearing & balance pathology resource registry (u24)"
RFA-DK-09-005,silvio o. conte digestive diseases research core centers (p30)
RFA-CA-13-010,sub-saharan african collaborative hiv and cancer consortia (u54)
RFA-DK-11-008,george m. o brien kidney research core centers (p30)
